name,dl,likes
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2203468,413
NousResearch/Nous-Hermes-13b,2852,418
google/flan-t5-large,507440,421
hkunlp/instructor-large,203996,421
openai/whisper-large,74201,422
ali-vilab/modelscope-damo-text-to-video-synthesis,9483,424
IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-v0.1,1777,424
cerspense/zeroscope_v2_576w,44809,426
diffusers/controlnet-canny-sdxl-1.0,19170,427
tloen/alpaca-lora-7b,0,431
facebook/seamless-m4t-v2-large,57473,432
CohereForAI/aya-101,14651,434
facebook/detr-resnet-50,437417,434
hassanblend/hassanblend1.4,2655,435
vikhyatk/moondream1,84047,443
ali-vilab/text-to-video-ms-1.7b,93908,444
dataautogpt3/OpenDalleV1.1,141637,446
mosaicml/mpt-7b-instruct,9988,450
openlm-research/open_llama_13b,8224,450
lmsys/vicuna-13b-delta-v0,110,451
microsoft/speecht5_tts,270514,456
TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF,1470,456
CarperAI/stable-vicuna-13b-delta,53,457
TheBloke/Mistral-7B-Instruct-v0.1-GGUF,3420,457
distil-whisper/distil-large-v2,64452,458
gsdf/Counterfeit-V2.0,1881,458
google/vit-base-patch16-224,2206937,459
stabilityai/stable-zero123,0,464
xiaolxl/GuoFeng3,2775,467
FacebookAI/xlm-roberta-base,10751776,468
meta-llama/Llama-2-7b-chat,0,469
BAAI/bge-m3,553349,473
cerspense/zeroscope_v2_XL,6336,473
meta-llama/Llama-2-70b,0,473
intfloat/multilingual-e5-large,745869,475
ProsusAI/finbert,928069,475
EleutherAI/gpt-neox-20b,28815,476
chavinlo/gpt4-x-alpaca,1925,477
gsdf/Counterfeit-V3.0,0,478
ogkalu/Comic-Diffusion,4715,478
berkeley-nest/Starling-LM-7B-alpha,113051,479
InstantX/InstantID,102525,483
facebook/seamless-m4t-large,0,485
bigscience/bloomz,1663,486
stabilityai/sdxl-vae,157917,488
hkunlp/instructor-xl,15555,491
BlinkDL/rwkv-4-raven,0,495
google/gemma-2b,95618,496
togethercomputer/LLaMA-2-7B-32K,64249,500
ggerganov/whisper.cpp,0,502
mosaicml/mpt-7b-chat,49192,502
cognitivecomputations/WizardLM-13B-Uncensored,876,504
meta-llama/Llama-2-13b-hf,228840,509
allenai/OLMo-7B,26779,510
playgroundai/playground-v2-1024px-aesthetic,119422,513
CrucibleAI/ControlNetMediaPipeFace,4886,514
upstage/SOLAR-10.7B-Instruct-v1.0,138085,520
YoungMasterFromSect/Trauter_LoRAs,0,521
guoyww/animatediff,0,522
Intel/neural-chat-7b-v3-1,13237,523
TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,2662,523
tiiuae/falcon-180B-chat,758,525
DGSpitzer/Cyberpunk-Anime-Diffusion,2767,534
riffusion/riffusion-model-v1,5119,534
google/flan-ul2,46544,535
NousResearch/Yarn-Mistral-7b-128k,194354,535
QuickWick/Music-AI-Voices,0,537
stabilityai/stable-code-3b,29822,540
shibing624/text2vec-base-chinese,128881,542
stabilityai/stable-diffusion-2-1-base,380289,552
deepset/roberta-base-squad2,1217829,573
jinaai/jina-embeddings-v2-base-en,374677,573
DeepFloyd/IF-I-XL-v1.0,23328,574
stabilityai/stable-video-diffusion-img2vid,123278,580
stabilityai/stable-diffusion-x4-upscaler,46026,587
google/flan-t5-base,1785546,591
hakurei/waifu-diffusion-v1-3,0,593
nitrosocke/Ghibli-Diffusion,4573,593
sentence-transformers/all-mpnet-base-v2,10769568,607
nitrosocke/redshift-diffusion,3456,608
pyannote/speaker-diarization,3649583,612
Open-Orca/Mistral-7B-OpenOrca,184068,615
h94/IP-Adapter,0,616
latent-consistency/lcm-lora-sdxl,207621,616
baichuan-inc/Baichuan-13B-Chat,3049,621
metavoiceio/metavoice-1B-v0.1,4831,622
syaimu/7th_Layer,0,622
microsoft/Orca-2-13b,61735,628
Gustavosta/MagicPrompt-Stable-Diffusion,31686,632
cerebras/Cerebras-GPT-13B,5751,636
cagliostrolab/animagine-xl-3.0,180478,643
anon8231489123/vicuna-13b-GPTQ-4bit-128g,1095,665
TheBloke/Llama-2-13B-chat-GGML,4660,665
teknium/OpenHermes-2.5-Mistral-7B,142036,682
nlpconnect/vit-gpt2-image-captioning,1976389,685
GanymedeNil/text2vec-large-chinese,24699,690
briaai/RMBG-1.4,396,691
togethercomputer/GPT-NeoXT-Chat-Base-20B,1878,695
PygmalionAI/pygmalion-6b,6528,710
segmind/SSD-1B,215760,711
replit/replit-code-v1-3b,179,713
Salesforce/blip-image-captioning-large,583763,713
WizardLM/WizardCoder-15B-V1.0,4663,717
Qwen/Qwen-7B-Chat,19002,720
Phind/Phind-CodeLlama-34B-v2,15157,721
TencentARC/T2I-Adapter,0,722
anon8231489123/gpt4-x-alpaca-13b-native-4bit-128g,971,727
WizardLM/WizardCoder-Python-34B-V1.0,21555,728
stabilityai/control-lora,0,730
google-bert/bert-base-chinese,1036304,731
impira/layoutlm-document-qa,70939,746
nitrosocke/Arcane-Diffusion,6688,746
TheBloke/Llama-2-7B-Chat-GGML,3288,750
meta-llama/Llama-2-70b-hf,135043,761
mosaicml/mpt-7b-storywriter,5679,762
suno/bark,416375,763
moka-ai/m3e-base,39553,770
lj1995/VoiceConversionWebUI,0,789
THUDM/chatglm3-6b,74217,791
timbrooks/instruct-pix2pix,586293,794
baichuan-inc/Baichuan-7B,10869,810
coqui/XTTS-v2,301726,819
TinyLlama/TinyLlama-1.1B-Chat-v1.0,197815,824
facebook/bart-large-cnn,2429977,832
tiiuae/falcon-7b-instruct,244219,832
Lykon/DreamShaper,385504,843
facebook/bart-large-mnli,3929853,859
wavymulder/Analog-Diffusion,8542,863
